2025-04-22 10:22:38 | DEBUG    | trading_bot              | setup_logging:74      | Logging initialised — file: logs/trading_bot.log
2025-04-22 10:22:38 | INFO     | trading_bot              | main:195              | Trading bot started — command=place
2025-04-22 10:22:38 | INFO     | trading_bot.client       | __init__:73           | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-04-22 10:22:38 | DEBUG    | trading_bot.client       | _request:108          | → GET /fapi/v1/ping  params={}
2025-04-22 10:22:38 | DEBUG    | trading_bot.client       | _request:124          | ← HTTP 200  body={}
2025-04-22 10:22:38 | DEBUG    | trading_bot              | main:208              | API ping successful.
2025-04-22 10:22:38 | DEBUG    | trading_bot.validators   | validate_symbol:43    | Symbol validated: ETHUSDT
2025-04-22 10:22:38 | DEBUG    | trading_bot.validators   | validate_side:52      | Side validated: SELL
2025-04-22 10:22:38 | DEBUG    | trading_bot.validators   | validate_order_type:61 | Order type validated: LIMIT
2025-04-22 10:22:38 | DEBUG    | trading_bot.validators   | validate_quantity:72  | Quantity validated: 0.05
2025-04-22 10:22:38 | DEBUG    | trading_bot.validators   | validate_price:80     | Price validated: 3500.00
2025-04-22 10:22:38 | INFO     | trading_bot.validators   | validate_order_params:136 | Validation passed — SELL LIMIT ETHUSDT qty=0.05 price=3500.00
2025-04-22 10:22:38 | INFO     | trading_bot.orders       | place_limit_order:97  | ── LIMIT ORDER ── SELL ETHUSDT qty=0.05 price=3500.00 TIF=GTC
2025-04-22 10:22:38 | INFO     | trading_bot.client       | place_order:157       | Placing LIMIT SELL order — symbol=ETHUSDT qty=0.05 price=3500.00
2025-04-22 10:22:38 | DEBUG    | trading_bot.client       | _request:108          | → POST /fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.05', 'timeInForce': 'GTC', 'price': '3500.00', 'timestamp': 1745314958213, 'recvWindow': 5000, 'signature': '***'}
2025-04-22 10:22:39 | DEBUG    | trading_bot.client       | _request:124          | ← HTTP 200  body={"orderId":1724830192,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"x-Cb7ytekJ-f9d44e","price":"3500.00000000","avgPrice":"0.00000","origQty":"0.05000","executedQty":"0.00000","cumQty":"0.00000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1745314959307}
2025-04-22 10:22:39 | INFO     | trading_bot.client       | place_order:162       | Order placed successfully — orderId=1724830192
2025-04-22 10:22:39 | INFO     | trading_bot.orders       | place_limit_order:105 | LIMIT order accepted — orderId=1724830192 status=NEW
2025-04-22 10:22:39 | INFO     | trading_bot              | main:226              | Trading bot exiting — code=0
